gate_node_id,belong_yard,x_coord,y_coord,direction,yard_node_id,closest_in,closest_out,resolution_type
421572,1,-86.788418,33.578197,in,,1,1,Gate
421514,1,-86.789647,33.561782,out,,1,1,Gate
437179,2,-83.686026,42.07679,in,,1,1,Gate
302823,10,-122.89594,44.51759,out,,1,1,Gate
414873,11,-87.623014,32.053536,out,,1,1,Gate
392217,14,-90.587938,34.517133,in,,1,1,Gate
396736,21,-90.120675,38.59365,out,,1,1,Gate
414649,26,-87.639157,41.860259,in,,1,1,Gate
414688,26,-87.637018,41.855078,out,,1,1,Gate
478995,29,-76.529707,39.298727,out,,1,1,Gate
427484,31,-85.562962,42.292813,in,,1,1,Gate
488767,32,-74.131244,40.743073,out,,1,1,Gate
433440,35,-84.349454,42.233127,out,,1,1,Gate
432963,35,-84.40349,42.248789,out,,1,1,Gate
490514,37,-73.911994,40.800941,out,,1,1,Gate
478108,41,-76.706869,39.085983,out,,1,1,Gate
438067,44,-83.542255,42.251835,out,,1,1,Gate
456785,48,-80.552769,38.425746,in,,1,1,Gate
459004,50,-80.251842,40.656798,out,,1,1,Gate
490998,53,-73.765443,42.621626,in,,1,1,Gate
300312,58,-149.08675,64.564805,out,,1,1,Gate
300370,61,-148.6782,60.775219,in,,1,1,Gate
329580,62,-114.28294,34.141878,out,,1,1,Gate
352699,63,-98.418995,35.847953,in,,1,1,Gate
462288,66,-79.931117,40.393964,in,,1,1,Gate
480631,75,-76.178787,36.913647,out,,1,1,Gate
484527,79,-75.186564,40.681045,in,,1,1,Gate
326405,80,-116.98003,46.421863,in,,1,1,Gate
492113,82,-72.938622,40.822743,out,,1,1,Gate
451058,88,-81.549959,39.261759,out,,1,1,Gate
364191,94,-96.37554,42.507937,in,,1,1,Gate
358426,100,-97.321957,32.749619,out,,1,1,Gate
307266,103,-122.35499,47.583249,in,,1,1,Gate
357841,107,-97.35499,32.99064,out,,1,1,Gate
307974,117,-122.31942,47.553137,in,,1,1,Gate
307921,117,-122.32425,47.556521,out,,1,1,Gate
309972,120,-122.13635,48.185232,in,,1,1,Gate
340624,142,-105.01289,39.497477,out,,1,1,Gate
351143,148,-98.990368,31.713131,in,,1,1,Gate
390419,150,-91.097963,40.79767,in,,1,1,Gate
362032,158,-96.720259,40.807668,out,,1,1,Gate
403115,161,-89.142417,38.549912,out,,1,1,Gate
394479,167,-90.257343,38.621686,in,,1,1,Gate
394709,167,-90.236698,38.629571,out,,1,1,Gate
413509,168,-87.742021,41.84489,out,,1,1,Gate
338736,174,-106.60943,45.885299,in,,1,1,Gate
383163,181,-93.051905,44.943341,in,,1,1,Gate
358460,188,-97.321273,32.747018,in,,1,1,Gate
330298,209,-113.61127,48.284199,in,,1,1,Gate
356652,213,-97.484425,35.37846,out,,1,1,Gate
389284,217,-91.345059,40.620706,in,,1,1,Gate
339902,229,-105.50996,44.297247,in,,1,1,Gate
374718,230,-94.607288,39.073142,out,,1,1,Gate
326055,246,-117.11455,32.661016,out,,1,1,Gate
303936,252,-122.73359,45.626511,in,,1,1,Gate
303835,252,-122.74004,45.630119,out,,1,1,Gate
378862,255,-93.890087,30.663303,in,,1,1,Gate
342706,258,-104.22257,32.440414,in,,1,1,Gate
335725,272,-110.56352,45.661917,out,,1,1,Gate
346412,280,-101.8306,33.576825,out,,1,1,Gate
383528,289,-92.958413,39.702381,out,,1,1,Gate
324581,291,-117.49457,47.562364,in,,1,1,Gate
339705,297,-105.80912,46.435694,out,,1,1,Gate
340790,309,-104.99786,39.791023,in,,1,1,Gate
307386,313,-122.34697,37.996556,out,,1,1,Gate
381403,317,-93.302811,37.229701,in,,1,1,Gate
619736,320,-102.26759,49.008301,in,,1,1,Gate
358050,322,-97.340329,32.787665,out,,1,1,Gate
381789,323,-93.27165,45.03339,in,,1,1,Gate
356468,325,-97.510935,35.501706,out,,1,1,Gate
392439,342,-90.541469,41.5075,out,,1,1,Gate
375279,346,-94.540127,37.070779,out,,1,1,Gate
364076,361,-96.39166,42.49215,in,,1,1,Gate
303877,365,-122.73836,45.624639,in,,1,1,Gate
342357,392,-104.49464,37.185343,out,,1,1,Gate
340249,399,-105.21646,34.608895,in,,1,1,Gate
390196,405,-91.165552,40.828294,out,,1,1,Gate
324341,407,-117.60822,33.880596,out,,1,1,Gate
358498,411,-97.318418,37.737923,in,,1,1,Gate
352306,412,-98.497694,33.92183,in,,1,1,Gate
339970,422,-105.39536,44.284837,in,,1,1,Gate
468762,428,-78.837618,42.822813,in,,1,1,Gate
468703,430,-78.84067,42.833573,out,,1,1,Gate
357117,451,-97.416678,25.959166,in,,1,1,Gate
391596,455,-90.764657,33.444524,in,,1,1,Gate
443132,463,-82.771679,40.782677,out,,1,1,Gate
429213,465,-85.099977,41.061622,in,,1,1,Gate
308776,466,-122.25291,38.188679,out,,1,1,Gate
427792,469,-85.439525,31.186477,in,,1,1,Gate
427517,473,-85.55321,39.366961,in,,1,1,Gate
458041,482,-80.350107,41.904066,in,,1,1,Gate
429007,488,-85.164557,42.31323,in,,1,1,Gate
404305,490,-88.955575,37.989747,in,,1,1,Gate
403102,500,-89.14382,38.502592,out,,1,1,Gate
457001,505,-80.510951,41.956852,out,,1,1,Gate
366790,507,-95.862609,41.268296,out,,1,1,Gate
391939,514,-90.662727,42.495102,in,,1,1,Gate
440184,521,-83.196835,42.116512,in,,1,1,Gate
440231,521,-83.191011,42.124314,out,,1,1,Gate
440028,527,-83.231968,42.155356,in,,1,1,Gate
390391,547,-91.106543,45.46667,out,,1,1,Gate
430851,549,-84.684093,42.680646,out,,1,1,Gate
406669,559,-88.610434,37.050824,out,,1,1,Gate
440356,574,-83.173815,42.308638,in,,1,1,Gate
400856,585,-89.628026,39.803904,in,,1,1,Gate
416008,586,-87.521049,41.705464,out,,1,1,Gate
300852,601,-123.42472,43.094181,out,,1,1,Gate
447377,607,-82.011324,34.495703,in,,1,1,Gate
395033,608,-90.211985,41.820563,in,,1,1,Gate
411919,611,-87.920454,41.953331,in,,1,1,Gate
412429,611,-87.88206,41.94111,out,,1,1,Gate
392579,613,-90.496752,41.524809,in,,1,1,Gate
414075,617,-87.68696,41.888607,in,,1,1,Gate
413938,617,-87.70114,41.88829,in,,1,1,Gate
414034,617,-87.690618,41.89002,in,,1,1,Gate
395217,618,-90.2049,41.825358,out,,1,1,Gate
